w1,w2,w3,succ,fail,skip,attack_contradiction_rate,avg_sentence_bert_similarity,loss
0.2635563018567133,0.32860838526529823,0.40783531287798835,298.0,108.0,94.0,0.168,0.902,-0.6972620295566503
0.26814663428914154,0.4470244179446067,0.28482894776625184,282.0,124.0,94.0,0.16,0.904,-0.6982762561576354
0.5865953201517526,0.21352938108945316,0.1998752987587942,289.0,117.0,94.0,0.163,0.903,-0.6981755320197045
0.5817768448006423,0.2799595854680193,0.13826356973133838,261.0,145.0,94.0,0.142,0.9,-0.7007714285714286
0.3030365680820253,0.3282083720176738,0.368755059900301,296.0,110.0,94.0,0.172,0.902,-0.6926688078817734
0.653021427330804,0.02603384767169866,0.3209447249974972,302.0,104.0,94.0,0.142,0.906,-0.726116472906404
0.5033149412948852,0.08635828659749743,0.4103267721076173,304.0,102.0,94.0,0.148,0.906,-0.7216656945812808
0.49235747751363973,0.3505059686474108,0.15713655383894953,274.0,132.0,94.0,0.168,0.904,-0.6871033694581281
0.7711294366440212,0.07080693988587994,0.1580636234700987,288.0,118.0,94.0,0.135,0.906,-0.725561921182266
0.41027612232971483,0.24604435057075613,0.34367952709952904,299.0,107.0,94.0,0.157,0.902,-0.7076766403940886
0.8967304090364617,0.018093653206433573,0.08517593775710462,44.0,362.0,94.0,0.068,0.932,-0.6902988768472906
0.3634345343099628,0.27124269187264444,0.3653227738173928,299.0,107.0,94.0,0.157,0.901,-0.7068336403940887
0.6722469871755525,0.2992527659009049,0.0285002469235424,211.0,195.0,94.0,0.104,0.895,-0.7058608866995074
0.6806913439709477,0.000591063728725872,0.3187175923003264,300.0,106.0,94.0,0.147,0.906,-0.7206012512315271
0.6549925593830409,0.27952325430246644,0.06548418631449268,212.0,194.0,94.0,0.104,0.893,-0.7045614975369459
0.814404945592082,0.06249460599817788,0.1231004484097402,209.0,197.0,94.0,0.077,0.916,-0.7484236650246306
0.7415916266114421,0.14746651676280725,0.11094185662575062,217.0,189.0,94.0,0.083,0.904,-0.735864551724138
0.4739698993042845,0.10149644446987226,0.4245336562258431,305.0,101.0,94.0,0.148,0.905,-0.7213063054187192
0.68232954512135,0.19405481036988675,0.12361564450876328,241.0,165.0,94.0,0.108,0.91,-0.7304392118226601
